name,area_km2,poblacion,pobreza_pct,ingreso,escolaridad,nse_index,pm25_mean,no2_mean,n_grid,pm25_who_ratio,no2_who_ratio,no2_column_mol_m2,blh_mean,aod_470,no2_surface_ug_m3,green_km2,green_pct,n_green,health_n_total,health_n_hospital,health_n_clinic,health_n_primary_care,health_n_pharmacy,health_n_laboratory,health_n_dental,health_n_mental_health,health_density_per_km2,health_n_access_grid,mean_nearest_health_m,median_nearest_health_m,p90_nearest_health_m,mean_nearest_hospital_m,median_nearest_hospital_m,p90_nearest_hospital_m,mean_nearest_primary_care_m,median_nearest_primary_care_m,p90_nearest_primary_care_m,mean_nearest_health_network_m,median_nearest_health_network_m,p90_nearest_health_network_m,mean_nearest_hospital_network_m,median_nearest_hospital_network_m,p90_nearest_hospital_network_m,mean_nearest_primary_care_network_m,median_nearest_primary_care_network_m,p90_nearest_primary_care_network_m,tmean_annual_c,tmax_mean_annual_c,summer_tmax_mean_c,tmax_p95_c,tmax_abs_c,apparent_tmax_mean_c,hot_days_30c,hot_days_35c,apparent_hot_days_35c,tropical_nights_20c,precip_annual_mm,heat_exposure_index,urban_heat_anomaly_c,climate_n_area_grid_points,climate_nearest_point_m,climate_used_nearest_fallback,climate_n_days,om_tmean_annual_c,om_tmax_mean_annual_c,om_tmin_mean_annual_c,om_tmean_summer_c,om_tmax_mean_summer_c,om_tmin_mean_summer_c,om_tmean_winter_c,om_tmax_mean_winter_c,om_tmin_mean_winter_c,om_hot_days_30c,om_hot_days_35c,om_tropical_nights_20c,om_frost_days,om_heat_wave_days,om_cold_spell_days,om_dtr_mean_c,om_dtr_p95_c,om_temp_monthly_sd,om_seasonal_amplitude_c,om_cdd_18,om_hdd_10,om_ehdd,om_tmax_p95_c,om_tmin_p05_c
Las Condes,98.9,339547,4.43,743000.0,15.58783918747427,2.278,7.8,2.96,1,1.56,0.3,0.00014,322.0,0.1199,20.06,1.313,1.33,234,211,5,21,10,107,7,23,1,2.1334,101,2454,1440,6463,3552,2931,7227,2985,2246,6615,361,361,428,3552,2931,7227,2985,2246,6615,14.44,19.77,26.79,29.08,32.8,18.71,13.0,0.0,0.0,3.0,544.1,-1.34,-3.24,1,0.0,False,366.0,14.43551912568306,19.77185792349727,10.007650273224044,20.46923076923077,26.785714285714285,15.541758241758243,8.76086956521739,13.224999999999998,4.935869565217391,13,0,3,10,25,34,9.764207650273224,13.8,5.27755141490385,11.708361204013377,340.8,293.4,51.89999999999999,29.075000000000003,0.9
Lo Barnechea,1022.13,128997,10.89,280000.0,14.06383199916831,0.802,7.28,2.64,8,1.46,0.26,5.4e-05,340.7,0.1103,7.32,1.813,0.18,142,45,0,9,6,18,1,5,1,0.044,1024,9923,8891,19433,19699,19770,30466,10878,9691,20499,9923,8891,19433,19699,19770,30466,10878,9691,20499,15.06,18.56,24.49,27.0,29.3,17.67,0.0,0.0,0.0,20.0,746.4,-0.94,-5.54,8,0.0,False,366.0,11.271584699453554,14.585792349726775,7.813387978142076,16.602197802197804,20.504395604395604,13.127472527472529,6.43695652173913,9.032608695652176,3.151086956521739,0,0,0,38,29,25,6.772404371584699,11.3,4.836148066560271,10.165241280458671,57.6,656.6000000000001,51.75000000000005,23.2,-1.6
Lo Espejo,8.19,102145,28.78,199778.0,10.42959944193576,-0.968,28.77,42.63,0,5.75,4.26,0.000173,313.0,0.1371,25.49,0.274,3.34,59,11,0,0,8,2,0,0,1,1.3423,8,590,463,1086,4360,4344,5100,647,515,1086,590,463,1086,4360,4344,5100,647,515,1086,16.11,23.23,31.09,33.72,37.8,22.25,91.0,8.0,8.0,2.0,721.8,1.04,1.07,0,0.0,True,366.0,16.10928961748634,23.233606557377048,10.51448087431694,22.468131868131863,31.09010989010989,15.386813186813187,9.865217391304348,15.244565217391305,5.7760869565217385,91,8,2,2,22,32,12.719125683060112,18.175000000000004,5.50820928258254,12.602914476827516,594.5,114.6,45.10000000000001,33.724999999999994,2.7
Lo Prado,6.57,103390,19.32,203917.0,11.36936853014144,-0.297,15.9,17.46,0,3.18,1.75,0.000169,324.8,0.1475,23.88,0.198,3.02,83,27,0,3,9,11,0,2,1,4.1098,6,218,114,458,1921,1936,2357,480,477,846,107,107,107,1921,1936,2357,480,477,846,15.92,23.38,31.1,33.4,37.5,22.44,90.0,9.0,7.0,0.0,672.6,0.79,1.08,0,0.0,True,366.0,15.91639344262295,23.37923497267759,10.031967213114754,22.34175824175824,31.0989010989011,14.824175824175828,9.70108695652174,15.458695652173914,5.615217391304347,90,9,0,3,26,30,13.347267759562843,18.799999999999997,5.468709850293162,12.640671285236502,554.6999999999999,120.6,51.749999999999986,33.4,3.125
Macul,12.81,137336,13.45,400000.0,13.37165590700947,0.755,17.5,23.7,1,3.5,2.37,0.000226,309.3,0.1382,33.69,0.364,2.84,95,33,0,6,5,9,0,6,1,2.5754,13,344,279,517,2097,2179,2734,741,750,1175,344,279,517,2097,2179,2734,741,750,1175,15.62,22.2,29.73,32.0,36.0,21.23,53.0,2.0,1.0,3.0,513.7,-0.11,-0.3,1,0.0,False,366.0,15.618852459016392,22.198360655737705,10.4,21.779120879120875,29.72857142857143,15.526373626373628,9.660869565217393,14.84565217391304,5.447826086956522,53,2,3,4,26,28,11.798360655737708,16.8,5.348161470147802,12.118251313903482,503.1,156.5,49.60000000000003,32.0,1.925
Maipú,137.61,585951,14.84,248179.0,12.42664462961877,0.22,28.77,42.63,2,5.75,4.26,9.9e-05,313.2,0.1376,14.49,2.175,1.58,720,123,2,13,29,46,3,16,2,0.8938,138,2201,1528,5451,5042,4000,10429,2497,1712,5914,1,1528,4,5042,4000,10429,17,1712,41,14.26,21.23,28.43,30.94,35.7,20.07,35.5,2.0,2.0,0.0,625.9,-0.72,-1.59,2,0.0,False,366.0,15.189617486338795,22.356010928961748,9.562295081967214,21.275824175824177,29.71538461538461,14.270329670329671,9.102173913043476,14.80108695652174,4.915217391304347,56,4,0,3,26,29,12.793715846994536,18.0,5.320391698902316,12.1736502627807,428.2000000000001,169.9,49.699999999999974,32.2,2.225
María Pinto,394.62,15382,27.16,193917.0,9.46843776624592,-1.087,11.08,14.56,3,2.22,1.46,3.7e-05,283.8,0.1117,6.05,0.067,0.02,8,6,0,0,5,1,0,0,0,0.0152,388,4593,3949,8311,13365,13779,18162,4627,4002,8311,678,685,941,13365,13779,18162,678,685,941,15.01,22.04,28.83,31.16,36.9,21.58,42.0,4.0,3.67,1.0,515.73,-0.4,-1.19,3,0.0,False,366.0,14.98743169398907,22.24754098360656,9.45655737704918,20.482417582417582,29.2989010989011,13.649450549450547,9.502173913043478,14.92717391304348,5.042391304347826,46,4,0,8,26,31,12.790983606557376,17.675,4.765586592214868,10.980243669374104,306.80000000000007,126.4,48.300000000000026,31.5,2.05
Melipilla,1343.13,146241,22.81,203917.0,10.95887124414489,-0.554,13.02,17.4,14,2.6,1.74,3.2e-05,297.8,0.1053,4.91,0.515,0.04,70,39,2,3,17,8,0,2,1,0.029,1360,6770,6625,12023,14027,13595,23404,6856,6693,12019,94,117,155,14027,13595,23404,82,82,148,14.58,21.56,27.71,30.99,37.44,20.86,31.91,4.82,2.64,0.36,570.14,-0.78,-2.31,14,0.0,False,366.0,14.528688524590164,21.816120218579236,9.03360655737705,19.51538461538462,27.96483516483516,13.1989010989011,9.34673913043478,14.94565217391304,4.89782608695652,32,5,0,6,19,32,12.782513661202184,18.9,4.522709984861925,10.168645484949838,216.40000000000003,142.9,57.999999999999964,31.2,1.4249999999999998
Padre Hurtado,81.22,78847,19.55,300000.0,11.37208218071051,-0.132,28.77,42.63,0,5.75,4.26,7.1e-05,313.5,0.1288,10.36,0.527,0.65,176,8,0,3,3,2,0,0,0,0.0985,80,3494,3243,6534,6601,6661,8522,3967,3782,6534,508,508,508,6601,6661,8522,508,508,508,14.97,22.15,29.03,31.78,36.7,21.32,40.0,3.0,2.0,0.0,583.6,-0.48,-0.99,0,0.0,True,366.0,14.978142076502731,22.151092896174863,9.287978142076502,20.602197802197804,29.031868131868137,13.828571428571427,9.075,14.942391304347824,4.694565217391304,40,3,0,4,20,37,12.86311475409836,18.5,5.0742818078204825,11.527197802197804,355.0999999999999,161.6,47.100000000000016,31.775,1.8
Paine,678.14,86258,20.95,193935.0,10.89190139297804,-0.492,16.9,22.15,5,3.38,2.21,4.1e-05,324.4,0.1107,5.76,0.251,0.04,86,18,0,2,10,3,0,0,0,0.0265,678,4740,3985,9133,18556,18519,26182,4844,4181,9133,460,460,678,18556,18519,26182,460,460,678,15.17,22.5,30.79,33.21,37.8,21.66,75.0,7.0,9.25,0.0,661.12,0.74,0.77,5,0.0,False,366.0,15.563387978142076,22.806010928961747,9.60792349726776,21.47912087912088,31.187912087912085,13.75824175824176,10.005434782608695,14.879347826086958,5.613043478260869,85,9,0,4,28,27,13.198087431693988,19.3,5.00947248246323,11.473686096512186,444.0,130.2,51.299999999999955,33.7,2.3
