name,date,temperature_2m_mean,temperature_2m_min,temperature_2m_max,dewpoint_temperature_2m,total_precipitation_sum
Lampa,2017-08-24,8.139733939794098,5.122109447122625,13.462932289298465,6.142365606219357,1.3580149250966806
Lampa,2017-08-25,7.732140582527734,3.4767872249148013,13.18123662680614,4.940790445655523,2.534170333918651
Lampa,2017-08-26,8.802453515353477,5.685156269735103,12.520883815615091,5.523671423396024,0.5180787892989169
Lampa,2017-08-27,8.278786283938189,5.058044250595856,13.565112765770266,5.677816559710948,0.8287615666720055
Lampa,2017-08-28,6.416598941923269,2.656416488548757,10.959825264349265,4.704671750376065,7.184249351700065
Lampa,2017-08-29,6.67689657702806,2.5734039844869585,12.433916827274174,3.5690038597679745,9.264315084091349
Lampa,2017-08-30,11.61232846652706,5.151739449924321,19.51011203449656,1.2968723288148,0.000855326639737
Lampa,2017-08-31,12.469299803951913,3.7132723781937216,20.12096776496935,3.823753355961742,0.0
Lampa,2017-09-01,10.37594426555205,6.140461993792144,15.694292570604093,6.395059356973491,0.3244166756853645
Lampa,2017-09-02,9.944026192155375,6.562235717055785,15.672382653901876,6.309114194313395,2.133072161849861
Lampa,2017-09-03,7.805102922027288,4.951271856398819,11.357784287835614,5.280367511089196,7.700954664167769
Lampa,2017-09-04,8.575831362398901,4.618043755784129,15.006227860851538,3.236241427688242,0.2543576857598778
Lampa,2017-09-05,10.137088035345757,2.5856053822745366,16.212960034997764,1.6586666052606915,0.0008583068797918
Lampa,2017-09-06,9.33466907780047,4.481721187100334,14.553456199148172,4.493351309490549,0.0008731711620194
Lampa,2017-09-07,9.946718759553562,2.462220293209782,16.41461549071545,4.839410057269674,0.0853844016739398
Lampa,2017-09-08,7.717602895340065,4.383875390825949,12.519342310130014,6.056497244710613,3.286156701311353
Lampa,2017-09-09,7.045214275843762,4.70527033191928,10.13153779995855,5.536007675927351,7.795508988179717
Lampa,2017-09-10,6.18040263030008,3.0713396434570654,9.952761898231358,4.352643368044653,5.29399962722379
Lampa,2017-09-11,7.35451309074034,3.074451207469906,13.269154046634467,2.895803176966581,0.0355935034548421
Lampa,2017-09-12,8.398663573103363,4.469388416611025,13.177300845980938,4.528315406169838,5.264044719047927
Lampa,2017-09-13,8.728446224271693,6.067167544266795,13.675257513818847,6.086387025929184,2.223453877043682
Lampa,2017-09-14,9.047353280807611,5.360176867754774,14.063931568645842,6.197946063457891,0.4803340195497604
Lampa,2017-09-15,11.713344157744244,5.055195440957277,19.295183100804024,2.32398327015062,0.0010570240699865
Lampa,2017-09-16,14.346395952066588,3.4545710380325545,26.994503943854227,2.550991589626335,0.0008523463179699
Lampa,2017-09-17,15.215250855269517,5.9144278461830595,23.782670220986688,8.361617998410566,0.0021818331029399
Lampa,2017-09-18,14.532173154271334,7.653700720121492,21.677235146174382,9.54872219609723,0.0423328024337012
Lampa,2017-09-19,9.454162501373048,7.108501675183618,12.406845806823751,8.297159443652902,6.069016517075435
Lampa,2017-09-20,9.07729003670022,4.75965351730423,15.473121993812184,6.018388493033456,4.705087830920839
Lampa,2017-09-21,13.157051855046577,8.194755357745578,20.1242876504744,6.9157868640413085,0.0067729325521559
Lampa,2017-09-22,15.63048867784994,10.255482880302452,22.7397955982492,6.308240199925308,0.0017161880236926
Lampa,2017-09-23,16.354796269779513,7.0616560893925,24.745157515196695,6.459610311428548,0.0
Lampa,2017-09-24,14.929144148365936,10.226689114758358,19.319068532828226,11.455942130906353,0.0442108429010092
Lampa,2017-09-25,15.747696002240277,11.05020786220365,22.04622307563795,9.904987267328464,0.0031570417288133
Lampa,2017-09-26,15.709872194918432,12.164722077976876,21.002764851313884,9.759581437242671,0.0027860966519283
Lampa,2017-09-27,16.635685697911015,12.66931292821488,22.293755125733128,9.16653316250364,0.0093645169271012
Lampa,2017-09-28,16.18273507211103,11.561464291527102,21.25640752165549,9.542561431232857,0.2694259492921278
Lampa,2017-09-29,15.553285072636127,11.851482076044988,21.77186549128959,9.852096717740269,0.467804660054428
Lampa,2017-09-30,10.793823026671705,8.617033661624191,13.714985148111907,8.603413428191232,21.812262262183108
Lampa,2017-10-01,8.811538133540807,6.055809569092503,13.20780912171665,5.246746371368488,5.229041260666598
Lampa,2017-10-02,10.073992434992531,1.677049089417153,16.75080686431295,3.7097501855304817,0.0624307289013666
Lampa,2017-10-03,13.79619287539066,4.678256713580083,22.979050674752383,5.865193119904973,0.0017622930638065
Lampa,2017-10-04,11.995478658808793,8.25000668839101,15.227989583405076,7.599193566419728,1.8453226763612491
Lampa,2017-10-05,10.352386378326171,5.699152382789521,14.999731321519846,6.12688969674349,30.73390086797039
Lampa,2017-10-06,14.00852547514188,7.126555172910628,23.39252159840771,6.552278608531083,0.0324355756955472
Lampa,2017-10-07,13.959682484932728,10.922466635549824,17.948446666037967,10.000317305143083,1.7637695900297128
Lampa,2017-10-08,10.985777026607591,6.209271256381214,17.670039833243777,7.810657903920571,2.324297344070673
Lampa,2017-10-09,11.847729883973273,7.414214133431358,17.215974924131217,8.375530962203015,0.2176941059312714
Lampa,2017-10-10,11.22352519826802,7.466430875765809,14.684412661669567,7.0707012008317065,3.5544506946036156
Lampa,2017-10-11,7.661573164242952,3.37724385471779,11.61450922459727,4.211424111021074,5.452137460153569
Lampa,2017-10-12,8.282517146821192,4.745805004552665,13.47326460652738,4.345212304505651,5.488500240696452
Lampa,2017-10-13,12.36502067435839,6.17853581217156,19.63237856730933,4.676816478477292,0.0008723180019528
Lampa,2017-10-14,15.829430565524715,6.430295094036467,25.11969423467872,6.459607937988608,0.000441074366364
Lampa,2017-10-15,17.280026437309743,10.866703027616497,23.3544280987918,9.732833599693777,0.0031870614073684
Lampa,2017-10-16,14.544157001809992,9.942996910135548,19.001345882606415,8.337059671131726,0.2144866325755752
Lampa,2017-10-17,13.901677607051,9.031306340006154,21.320083085317435,9.446569229102067,0.2243159800180373
Lampa,2017-10-18,12.678595489794986,8.02098058916971,19.986934615667224,7.885388213570138,0.3576924909610091
Lampa,2017-10-19,16.853764644221428,9.071015486136956,25.069004761675103,8.201055456987888,0.0008523463179699
Lampa,2017-10-20,14.235751464472912,11.067781484021909,16.927449702151307,8.953452128194101,0.3715917196503672
Lampa,2017-10-21,16.050838259802163,9.488417104354369,24.475994306112455,8.001678219136807,0.00214074930334
Lampa,2017-10-22,18.53180746324807,11.904048676129094,24.585771022215734,7.986968182835312,0.0003660518286687
Lampa,2017-10-23,17.309517912329227,11.488406886975897,23.62985144810841,8.707272660384149,0.0124679460124658
Lampa,2017-10-24,15.66639656786026,10.990583269319927,21.26316531729094,7.997863667641468,0.1499934608231299
Lampa,2017-10-25,15.200576319274944,10.01237860606176,22.08388391995976,9.593713163614666,0.0244493627464119
Lampa,2017-10-26,13.54424659897944,8.164957301943161,19.39052610582354,9.3820908634097,0.9101811382505628
Lampa,2017-10-27,15.69728492514048,9.010241146637156,23.601016463201745,8.731969244461823,0.0027842236111838
Lampa,2017-10-28,12.339687504171197,7.0501409782934275,17.69349004441608,6.980470337177223,0.2574308629129178
Lampa,2017-10-29,10.228046391969428,6.089541154129222,14.808018245169931,5.340725706961223,0.8760683801762548
Lampa,2017-10-30,12.443811711306296,6.325518371833198,20.714681730545124,3.6433336766635303,0.0022854418185426
Lampa,2017-10-31,13.502870473127189,6.937879770717302,19.883190288240883,3.842539862382864,0.0014224888051362
Lampa,2017-11-01,12.086559419521734,8.235999075179166,16.890107605949254,4.697074343086854,0.4518043041335155
Lampa,2017-11-02,11.22004481552392,8.231463142229018,13.92218014528163,8.367041201687698,9.353831520782016
Lampa,2017-11-03,12.465938503228756,7.651017003224808,20.934880445369345,5.738314619966957,0.0463150428506222
Lampa,2017-11-04,13.67719212748267,9.361449590701966,20.587471098902597,5.0912389728711105,0.2718917591615123
Lampa,2017-11-05,16.89652142398569,11.838422678611607,24.125656375515007,5.486286626206891,0.1480827964172854
Lampa,2017-11-06,16.406095774398466,12.45067776831928,20.005745186152524,10.669510634263643,0.5725584714362741
Lampa,2017-11-07,15.751315394556116,11.682331411282064,20.533030870225673,12.24917611823514,5.474447588694091
Lampa,2017-11-08,16.523775418188222,12.145858985322208,22.761700877212604,11.291809402127852,3.1711466255642113
Lampa,2017-11-09,16.85078725655967,11.6291476958923,23.842342805946487,10.25518734965766,0.6197296104824331
Lampa,2017-11-10,19.65260313498652,10.87644670184818,27.51098275428518,7.208039566285265,0.0
Lampa,2017-11-11,22.001651547652617,14.628215151545078,29.07673794467752,7.295507499953487,0.0008608301982349
Lampa,2017-11-12,21.82297071022964,16.594132120983488,27.552374045110128,9.239784878523835,0.001825783726471
Lampa,2017-11-13,20.019220480899264,13.46288072697064,26.574873277595714,10.433459203018517,0.0017590904011577
Lampa,2017-11-14,19.04214697069176,13.517801979778085,25.939644838542847,10.97833886068986,0.0144649715300239
Lampa,2017-11-15,14.677935215633966,7.667943655974966,21.907040304803957,7.476722751447653,0.0953961405832595
Lampa,2017-11-16,16.848224700218964,8.90881040506963,24.69193911992545,4.143509830756614,0.0022452239898651
