source,matched_in,name,official_type,commune,lon,lat
deis,osm,Clínica Vida Estética,Clínica,Providencia,-70.612965,-33.432437
deis,osm,CIMER,Sala Externa de Toma de Muestras (SETM),Providencia,-70.613329,-33.432643
deis,osm,Centro Clínico San Gerardo,Clínica,Recoleta,-70.647641,-33.405887
deis,osm,A.S UTM Plaza San Francisco,Sala Externa de Toma de Muestras (SETM),Vitacura,-70.518403,-33.371865
deis,osm,UNO SALUD DENTAL PUDAHUEL SUR,Clínica Dental,Pudahuel,-70.736668,-33.470669
deis,osm,MUTUAL SEGURIDAD MAIPÚ,Centro de Salud Privado,Maipú,-70.75702784,-33.50128342
deis,osm,LABORATORIO CLINICO CENTRAL LAB,Laboratorio Clínico,Las Condes,-70.5538981,-33.3996048
deis,osm,OPERACIÓN CLINICA HUINGANAL,Clínica,Vitacura,-70.5991944,-33.4003321
deis,osm,FUNDACION DEBRA,Centro de Salud Privado,Huechuraba,-70.619211,-33.38657
deis,osm,SERVITOX LIMITADA,Laboratorio Clínico,Recoleta,-70.6369964,-33.4309749
deis,osm,Centro  Kintun,Centro de Salud Comunitario para Personas con Demencia,Peñalolén,-70.5412219,-33.4779699
deis,osm,SETM LA DEHESA,Sala Externa de Toma de Muestras (SETM),Lo Barnechea,-70.51525999,-33.36048008
deis,osm,SAR ELSA ROMO ARAVENA,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Melipilla,-71.2233852,-33.6918733
deis,osm,A.S UTM Buin UC CHRISTUS,Sala Externa de Toma de Muestras (SETM),Buin,-70.73697352,-33.7363791
deis,osm,A.S UTM Peñaflor UC CHRISTUS,Sala Externa de Toma de Muestras (SETM),Peñaflor,-70.90034077,-33.60763079
deis,osm,Centro Médico Bero,Centro de Salud Privado,Lo Prado,-70.72404669,-33.4400857
deis,osm,UTM MACUL UC CHRISTUS,Sala Externa de Toma de Muestras (SETM),Macul,-70.59904793,-33.48362292
deis,osm,Laboratorio Clinico Blanco SpA,Laboratorio Clínico,Las Condes,-70.53274462,-33.3846217
deis,osm,DAVITA BUIN,Centro de Diálisis,Buin,-70.75814771,-33.7346882
deis,osm,Sala Externa Toma Muestras Sociedad Médica Alto Tobalaba Limitada,Sala Externa de Toma de Muestras (SETM),Peñalolén,-70.55728056,-33.48297915
deis,osm,Sala Externa Toma Muestas Laboratorio Popular,Sala Externa de Toma de Muestras (SETM),San Joaquín,-70.62965829,-33.50762163
deis,osm,CECOSF Santa Teresa,Centro Comunitario de Salud Familiar (CECOSF),La Florida,-70.55159192,-33.51806658
deis,osm,Centro de Especialidades Médicas y Odontológicas,Centro de Especialidades de Atención Primaria (CEAP),El Bosque,-70.67650739,-33.55010129
deis,osm,SAFEVAC SpA,Vacunatorio,Providencia,-70.60458701,-33.43927161
deis,osm,NEFRODIALISIS,Centro de Diálisis,Recoleta,-70.64281136,-33.42349991
deis,osm,DIALISIS COLINA SA,Centro de Diálisis,Colina,-70.6786849,-33.20092325
deis,osm,DAVITA PUENTE ALTO,Centro de Diálisis,Puente Alto,-70.57210997,-33.58692803
deis,osm,UNO SALUD LA FLORIDA SANTA AMALIA,Clínica Dental,La Florida,-70.57074036,-33.54510319
deis,osm,Centro de Resolutividad de la Atención Primaria CREAP,Centro de Especialidades de Atención Primaria (CEAP),Maipú,-70.74561,-33.510053
deis,osm,UNO SALUD DENTAL BUIN,Clínica Dental,Buin,-70.73599878,-33.73334417
deis,osm,Centro Comunitario de Salud Familiar IRMA ABARCA,Centro Comunitario de Salud Familiar (CECOSF),Renca,-70.6868816,-33.4150971
deis,osm,Laboratorio Clínico Román Díaz,Laboratorio Clínico,Ñuñoa,-70.61988158,-33.45066548
deis,osm,Dr. Mario Vidal Climent,Centro Comunitario de Salud Mental (COSAM),San Miguel,-70.6566904,-33.4833211
deis,osm,CENTRO MEDICO UC CHRISTUS VITACURA,Centro de Salud Privado,Vitacura,-70.57642663,-33.3926087
deis,osm,Centro Médico Militar Maipú,Centro de Salud Privado,Estación Central,-70.7201699,-33.4596828
deis,osm,Centro Médico Militar Cordillera,Centro de Salud Privado,La Reina,-70.5339909,-33.4614726
deis,osm,FAST CLINIC EL PINO,Centro de Salud Privado,San Bernardo,-70.68343284,-33.60736906
osm,deis,Farmacias Ahumada,,Las Condes,-70.5250533,-33.376238
osm,deis,Farmacias Ahumada,,Las Condes,-70.572086,-33.4186414
osm,deis,SalcoBrand,,Las Condes,-70.57693,-33.426429600000006
osm,deis,Farmacias Ahumada,,Pudahuel,-70.8415256,-33.440102800000005
osm,deis,Farmacias Ahumada,,Providencia,-70.6021662,-33.4265433
osm,deis,Cruz Verde,,Las Condes,-70.5527189,-33.4172998
osm,deis,Hospital de Niños,,Puente Alto,-70.5813935,-33.5745464
osm,deis,Farmacias Ahumada,,Las Condes,-70.5647485,-33.42514859999999
osm,deis,Cruz Verde,,Las Condes,-70.5763604,-33.41102870000001
osm,deis,Cruz Verde,,Las Condes,-70.5929242,-33.4162944
osm,deis,SalcoBrand,,Las Condes,-70.5923034,-33.4246145
osm,deis,Cruz Verde,,Las Condes,-70.6014766,-33.4152789
osm,deis,SalcoBrand,,Las Condes,-70.6016454,-33.415094999999994
