name,LST_Day_1km_mean_c,LST_Day_1km_max_c,LST_Day_1km_p95_c,LST_Night_1km_mean_c,LST_Night_1km_max_c,LST_Night_1km_p95_c,year,season
Estación Central,41.02987931348787,48.909691780821944,46.51209132420095,17.409513985109715,22.94428310502287,21.19048972602743,2024,summer
Huechuraba,31.89272709803852,46.29524509090909,43.37793989090912,12.275293215202883,21.893530909090927,19.97919289696972,2024,annual
Huechuraba,39.67800692670859,47.39228363636364,44.89714412121215,17.20764686231363,21.893530909090927,21.09433745454548,2024,summer
Independencia,33.81815186022448,47.52579937304078,44.01093454246906,12.338415783222846,23.024191670398594,20.833270637408596,2024,annual
Independencia,40.759419205811184,48.771665920286644,46.123123600537426,18.261239415914627,23.024191670398594,21.85666592028664,2024,summer
Isla de Maipo,27.80835493272215,40.80895067513629,37.44469493288312,11.00725636081172,18.63205786386202,17.180655596630714,2024,annual
Isla de Maipo,34.16615332572436,41.372848241868894,39.345369227787685,14.85541438164727,18.784579124579164,18.289217692387833,2024,summer
La Cisterna,34.16700140849292,47.26853372434021,43.98127631150216,11.823408312301058,22.626643857934212,19.943530465949856,2024,annual
La Cisterna,40.84727713592151,48.341052460084754,46.02304659498212,17.171046439336514,22.626643857934212,21.266742695774983,2024,summer
La Florida,30.889954058905772,44.16503877391827,41.275129990407606,10.319775417480926,20.24842793557567,18.53154753437651,2024,annual
La Florida,37.72682311178188,44.688939108888206,42.884440129858234,15.720331437006264,20.252639838480277,19.611373262056652,2024,summer
La Granja,34.37630156310888,46.922461089494206,43.8836512105491,11.25949495360968,21.462525940337258,19.522759403372277,2024,annual
La Granja,40.78460856064468,47.83745784695205,46.02205171854738,16.92926356458866,21.462525940337258,20.615997622135787,2024,summer
La Pintana,32.18374441545167,45.12563913785745,42.17288111243217,10.414231329785792,20.833590482287686,18.18819778773654,2024,annual
La Pintana,39.11429310526571,45.79314980793856,44.007418462797006,15.599823219643909,20.827346350832286,19.23035478019635,2024,summer
La Reina,30.80474393921237,43.85449682056955,41.29088915768136,12.395085501877894,21.697138512579517,20.130643558197427,2024,annual
La Reina,37.95442505883514,45.418967376278715,42.65927921389736,17.420584425682854,21.697138512579517,21.121297345866765,2024,summer
Lampa,31.453067616493545,46.19892177804908,42.89854321251951,10.292128418471167,19.91960707383354,18.107239590750382,2024,annual
Lampa,39.55590777512148,47.01351824403862,44.94166357876689,15.657908463320005,19.87161776886529,19.221018020014483,2024,summer
Las Condes,29.355408936008715,42.93976654338927,40.16960186425649,11.009457855943396,20.522037049266963,18.88631496279666,2024,annual
Las Condes,36.61090004731997,44.4365440496632,41.59735985448863,16.16324008575356,20.5545832782988,19.86235845110732,2024,summer
Lo Barnechea,24.63237200637496,42.02898191492082,38.75728679365882,1.989706438536959,13.350156166065538,11.258995695665622,2024,annual
Lo Barnechea,34.17020415262707,42.53683853247381,40.3247286225582,8.95702425564749,13.846861202772885,13.260594603733429,2024,summer
Lo Espejo,34.82759480483919,48.267404306220115,44.70138250930359,12.027855996290473,23.35149122807021,19.960546251993648,2024,annual
Lo Espejo,41.466169623693546,49.044868421052655,47.00302930622013,17.12569205379894,23.35149122807021,21.172265749601305,2024,summer
Lo Prado,34.487527511726995,48.02232222774741,44.37443245483179,11.67676147189589,22.940422675285962,19.724223437759022,2024,annual
Lo Prado,41.09160275595913,49.13854301342617,46.7603008453506,17.0619920423004,22.940422675285962,20.670236200895104,2024,summer
Macul,33.903440930689456,47.05193540183116,43.74879319260769,11.96743720156108,22.30015005086473,20.569807519498163,2024,annual
Macul,40.71533551738325,47.92379959308243,45.57705366225842,17.88838067107505,22.30015005086473,21.624830874872867,2024,summer
Maipú,32.02743705550273,46.41714102837639,42.93646483575533,11.02722269152708,20.655947893701285,18.37545865633077,2024,annual
Maipú,39.37475171098229,47.11323044828487,45.1807682202151,15.936885429042121,20.6459761041178,19.535835466894277,2024,summer
María Pinto,27.62691618142584,41.162384334868634,37.44019759201528,10.6878390066905,18.724690112543527,16.82374954174972,2024,annual
María Pinto,34.54185759214364,41.86685671994774,39.92181754471558,14.208744045601376,18.708040287436653,17.999568803697997,2024,summer
Melipilla,26.787904676885418,40.346587673821446,36.51590674315734,10.3290528192572,17.950661974901905,16.452030680184784,2024,annual
Melipilla,33.45156441654082,40.91186653907657,38.60134066774881,13.822712565815184,17.952567445128174,17.43987951208879,2024,summer
Padre Hurtado,29.659899424805943,43.48210219740493,40.06295666117654,10.797478838052793,18.661662314706987,17.315647772466193,2024,annual
Padre Hurtado,36.623934362012385,43.94874543044232,42.1440660359673,14.90768851061053,18.631409231510904,18.094614148555856,2024,summer
Paine,27.442029450547928,40.48671985246571,37.54505421606432,9.092189331770527,17.97706751610668,16.721641111616762,2024,annual
Paine,34.16439161936584,40.83722673819847,39.00848526652779,14.334739369341822,17.88837525447277,17.72939386391402,2024,summer
Pedro Aguirre Cerda,34.54744903917592,48.246949152542385,44.616536409290674,12.125652648737367,22.81148775894541,20.208155210295068,2024,annual
Pedro Aguirre Cerda,41.306328837130806,48.92526553672318,46.786576271186455,17.37940071063061,22.81148775894541,21.344136848713145,2024,summer
Peñaflor,29.06090427146141,42.47904849168316,39.16683480562608,10.526418896086364,18.784343106850876,17.11662829308026,2024,annual
Peñaflor,36.03860228326545,42.92078892961192,41.310133915985375,14.785766334113752,18.775476458979437,18.066635889484104,2024,summer
Peñalolén,30.097396236575268,43.388474493828674,40.656469013020214,10.190940050420828,20.05501611236094,18.30826369044003,2024,annual
Peñalolén,37.18936233821432,44.47770778865449,42.17173207879857,15.650781723538417,20.066073448045266,19.368912871648348,2024,summer
Pirque,27.882304283131504,41.23649801035785,38.2965366503504,6.9673628666770115,17.036809696579596,15.608029133871732,2024,annual
Pirque,34.730839388092434,41.60491280685842,39.773125694911776,13.34747615088888,17.412286040319533,17.26163947976714,2024,summer
Providencia,30.693938883133068,43.954008142954095,41.32937161652721,13.879480468410582,23.692096810676347,21.932409522732442,2024,annual
Providencia,38.057672816936645,45.80525220538341,42.82586518887132,19.228170822322213,23.692096810676347,22.978278669984192,2024,summer
Pudahuel,31.78633666572314,46.3788299508758,42.8000405646802,10.737080932196058,20.466513174217237,18.638184802924314,2024,annual
Pudahuel,39.13020866495985,46.80985014638017,44.87398183066213,16.066808752675005,20.452745166145647,19.735689392811675,2024,summer
Puente Alto,31.363197790889004,44.855480100606634,41.6448619116311,10.203107696851387,20.001000887705313,18.039816531661522,2024,annual
Puente Alto,38.36646431423973,45.40030108004146,43.34827575578244,15.423650768877943,20.07950029590179,19.302898172806657,2024,summer
Quilicura,34.639536800238474,49.23511999081413,45.55303924101506,11.993331110409924,21.8713956826272,19.917776304206402,2024,annual
Quilicura,42.21755860843568,49.68006257894136,47.942086108240545,17.308774928689726,21.869053278217965,20.972270352508925,2024,summer
Quinta Normal,34.22543670094448,47.90986452861491,44.37561837618655,11.782055013850599,22.769817528338436,19.956532116855612,2024,annual
Quinta Normal,41.13155148219306,48.957970693945285,46.78379872822784,17.330238966493436,22.769817528338436,20.902604368261024,2024,summer
Recoleta,32.96833760859202,46.878875825082545,43.59544083470851,12.378445272852343,22.73523514851488,20.841609942244254,2024,annual
Recoleta,40.155587426479684,48.10058374587462,45.5014036716172,18.254438648490286,22.73523514851488,21.859302805280556,2024,summer
Renca,34.03269731341445,48.33250411635568,44.91277067325286,11.924602029187618,22.35644484083427,19.89930170600075,2024,annual
Renca,41.562641289121075,49.04343166849618,47.20087712678378,17.293968832762623,22.343209385290915,20.936182766191024,2024,summer
San Bernardo,30.93792054605846,44.32463571793127,41.111753303277766,10.870460128938275,20.642465549506653,18.14972472035559,2024,annual
San Bernardo,37.80950803117899,44.79070347056823,42.80705543977548,15.665189888007518,20.615646053079296,19.247099778836365,2024,summer
San Joaquín,34.296294822021196,47.23374794340245,43.98076022814525,11.963440045587284,22.299865087199763,20.22045656465945,2024,annual
San Joaquín,40.90668689768043,48.20127344521225,45.93605517165736,17.37692026175341,22.299865087199763,21.29896841066143,2024,summer
San José de Maipo,18.707302988154282,38.90652291495546,34.9583811788116,-4.972377124518285,9.01185241102404,6.427003564805439,2024,annual
San José de Maipo,28.276652614260257,39.01382202782174,36.91285719109168,3.712763697104082,8.90543035374912,8.497050477849749,2024,summer
San Miguel,34.070004976656875,47.00048008171606,43.728503177845894,11.931292569940497,22.429159005788243,20.20792759051189,2024,annual
San Miguel,40.623631996714444,48.245226421518595,45.690755022131455,17.419267428855584,22.429159005788243,21.331647372602458,2024,summer
San Pedro,26.78575380396686,42.29330372646197,38.0157699804067,9.475259747978441,17.220744270988703,15.659026636651273,2024,annual
San Pedro,34.1610290039032,42.08052013580486,40.06652836962018,12.624422673552207,16.992088469253968,16.701317253833352,2024,summer
San Ramón,34.34637046734427,46.97670807453419,43.97604399585924,11.259864484730915,21.88940993788823,19.554366373360963,2024,annual
San Ramón,40.82913225048485,47.981692546583886,45.944241718426525,16.88715653338442,21.88940993788823,20.67877587991721,2024,summer
Santiago,33.159820878680264,46.68532147359577,43.416944658448934,12.836588815912204,23.301666900126094,20.94652805014711,2024,annual
Santiago,40.203547492889115,48.18574450203113,45.40504692533971,18.103337594816878,23.301666900126094,21.983380725591843,2024,summer
Talagante,28.85932320455424,42.039067260012715,38.641066891290556,10.12733964669329,18.03065657978388,16.55910026276757,2024,annual
Talagante,35.56157116871874,42.41017825810555,40.65984685314689,14.536697229223698,18.17785556261923,17.751401271455844,2024,summer
Tiltil,32.12719400260197,48.182163202579076,44.50987286676852,10.338730380080767,20.62913152519976,18.813432737892633,2024,annual
Tiltil,41.29823481212236,49.062038555495505,46.64215036242771,16.10738284877354,20.603696511884053,19.871651999359287,2024,summer
Vitacura,29.403333397151783,42.75941067714354,40.21837474825847,12.58077125163377,21.598639935290066,20.16501912410449,2024,annual
Vitacura,36.84409782534934,44.25047954703031,41.62598181958249,17.44684454328379,21.598639935290066,21.038401895077442,2024,summer
Ñuñoa,32.22687520480852,45.52190909090911,42.60007029796447,12.926252096933906,23.146508704061922,21.382002385557726,2024,annual
Ñuñoa,39.464634287117505,47.04687814313348,44.272504835589956,18.64554921100153,23.146508704061922,22.45245647969055,2024,summer
