tmean_annual,tmax_mean_annual,tmin_mean_annual,tmean_summer,tmax_mean_summer,tmin_mean_summer,tmean_winter,tmax_mean_winter,tmin_mean_winter,tmean_autumn,tmax_mean_autumn,tmin_mean_autumn,tmean_spring,tmax_mean_spring,tmin_mean_spring,hot_days_30c,hot_days_35c,tropical_nights_20c,frost_days,heat_wave_days,cold_spell_days,dtr_mean,dtr_p95,temp_monthly_sd,seasonal_amplitude,cdd_18,hdd_10,ehdd,tmax_p95,tmin_p05,name
14.448087431693988,21.718306010928963,8.482513661202187,20.779120879120878,29.618681318681315,13.543956043956044,8.221739130434784,14.040217391304349,3.552173913043478,14.492391304347825,21.593478260869563,8.750000000000002,14.367032967032968,21.70659340659341,8.135164835164833,53,2,0,22,24,27,13.235792349726777,18.9,5.528967729820711,12.557381748686094,361.2,256.2,48.199999999999974,32.2,-0.775,San Bernardo
16.315300546448086,22.873224043715844,11.074043715846994,22.475824175824176,30.397802197802196,16.2010989010989,10.354347826086956,15.519565217391307,6.124999999999999,16.11086956521739,22.58043478260869,11.308695652173911,16.38791208791209,23.079120879120882,10.713186813186812,72,4,6,1,26,28,11.799180327868852,16.8,5.3496844811127175,12.12147634973722,610.9,111.89999999999999,49.50000000000006,32.675000000000004,2.625,San Joaquín
3.737158469945355,6.7322404371584685,0.37704918032786916,10.18021978021978,13.773626373626373,6.464835164835166,-1.8369565217391304,0.708695652173913,-4.848913043478261,4.2,7.215217391304346,0.8913043478260868,2.4615384615384617,5.292307692307692,-0.9472527472527471,0,0,0,170,32,27,6.355191256830601,10.85,5.682842034606162,12.01717630195891,0.0,2478.4,68.85000000000004,18.075000000000003,-10.4,San José de Maipo
16.375956284153006,22.973224043715845,11.174043715846995,22.53846153846154,30.497802197802194,16.301098901098904,10.419565217391304,15.619565217391305,6.2250000000000005,16.16086956521739,22.68043478260869,11.408695652173915,16.452747252747255,23.179120879120877,10.813186813186814,76,4,7,1,26,28,11.799180327868852,16.8,5.344614484882918,12.118896321070237,619.5000000000001,108.19999999999999,48.2,32.775,2.725,San Miguel
14.671038251366122,21.262841530054647,9.624590163934425,19.752747252747255,27.546153846153842,13.552747252747253,9.361956521739133,14.173913043478262,5.709782608695653,14.763043478260867,21.566304347826087,9.730434782608697,14.863736263736262,21.83956043956044,9.547252747252749,41,6,1,3,22,30,11.638251366120219,17.6,4.588506999993676,10.390790731008122,244.90000000000003,137.0,55.14999999999994,31.125,2.8,San Pedro
15.618852459016393,22.198360655737705,10.4,21.779120879120875,29.72857142857143,15.526373626373628,9.660869565217393,14.84565217391304,5.447826086956522,15.411956521739128,21.905434782608694,10.632608695652175,15.69120879120879,22.3978021978022,10.045054945054945,53,2,3,4,26,28,11.798360655737707,16.8,5.348161470147802,12.118251313903482,503.09999999999997,156.5,49.60000000000003,32.0,1.9249999999999998,San Ramón
16.1724043715847,22.754644808743173,11.006557377049178,22.030769230769234,30.397802197802196,15.33076923076923,10.71195652173913,15.108695652173916,6.985869565217392,15.872826086956522,22.495652173913044,11.031521739130435,16.137362637362635,23.103296703296703,10.721978021978021,68,3,3,1,26,28,11.748087431693989,17.0,4.977032964093704,11.318812709030103,536.6,89.70000000000002,53.19999999999999,32.675000000000004,4.125,Santiago
14.289617486338798,22.378415300546447,7.9030054644808745,20.099999999999998,29.652747252747254,12.48021978021978,8.084782608695651,14.826086956521742,3.0021739130434777,14.227173913043476,22.083695652173912,8.06413043478261,14.815384615384614,23.037362637362637,8.117582417582415,54,5,0,25,22,29,14.475409836065573,20.675,5.2588463997410635,12.015217391304347,264.7,248.3,44.549999999999955,32.075,-0.875,Talagante
16.161475409836065,23.19672131147541,10.500546448087432,22.816483516483512,31.234065934065935,15.586813186813188,9.795652173913044,14.992391304347825,5.938043478260871,15.67282608695652,22.69239130434783,10.357608695652173,16.43626373626374,23.963736263736266,10.17142857142857,95,9,0,1,27,34,12.696174863387979,17.949999999999996,5.651686927880841,13.020831342570467,641.9999999999999,148.9,53.49999999999995,33.8,2.925,Tiltil
16.839890710382512,22.04043715846995,12.350819672131147,22.46483516483517,29.07032967032967,17.23186813186813,11.894565217391303,15.469565217391304,8.203260869565216,16.36195652173913,21.459782608695654,12.21195652173913,16.697802197802194,22.240659340659338,11.803296703296702,37,1,20,3,25,31,9.689617486338797,13.900000000000002,4.842943503290423,10.570269947443865,645.3,100.5,51.24999999999997,31.475,3.7750000000000004,Vitacura
15.618852459016393,22.198360655737705,10.4,21.779120879120875,29.72857142857143,15.526373626373628,9.660869565217393,14.84565217391304,5.447826086956522,15.411956521739128,21.905434782608694,10.632608695652175,15.69120879120879,22.3978021978022,10.045054945054945,53,2,3,4,26,28,11.798360655737707,16.8,5.348161470147802,12.118251313903482,503.09999999999997,156.5,49.60000000000003,32.0,1.9249999999999998,Ñuñoa
